Date,Close/Last,Volume,Open,High,Low
09/05/2025,$69.92,2859222,$69.43,$70.60,$69.01
09/04/2025,$68.67,3276457,$67.87,$68.71,$66.99
09/03/2025,$67.90,2979701,$67.25,$68.29,$66.4106
09/02/2025,$67.12,3979170,$65.90,$67.31,$65.38
08/29/2025,$67.21,4668633,$65.95,$67.725,$65.95
08/28/2025,$66.06,10909470,$63.87,$66.6995,$62.16
08/27/2025,$69.60,7176962,$69.535,$70.48,$69.03
08/26/2025,$68.10,3361971,$68.02,$69.065,$67.93
08/25/2025,$67.98,2249423,$68.55,$68.95,$67.95
08/22/2025,$68.79,2798601,$68.06,$69.00,$67.30
08/21/2025,$67.94,2751827,$69.13,$69.2259,$67.54
08/20/2025,$69.63,4284794,$68.39,$69.91,$67.85
08/19/2025,$67.91,2009403,$69.57,$69.72,$67.77
08/18/2025,$69.46,1789662,$69.08,$69.53,$68.75
08/15/2025,$68.68,2340915,$68.68,$69.63,$68.52
08/14/2025,$68.61,1846960,$69.94,$69.94,$68.11
08/13/2025,$70.19,2415038,$70.16,$70.40,$68.95
08/12/2025,$69.35,2929525,$69.485,$69.60,$68.3892
08/11/2025,$68.80,3383421,$70.93,$72.01,$68.66
08/08/2025,$71.60,1976200,$72.58,$72.845,$71.44
08/07/2025,$72.58,3228575,$76.00,$76.20,$70.735
08/06/2025,$75.70,1792195,$74.02,$75.76,$73.33
08/05/2025,$73.30,2516772,$74.78,$75.50,$73.29
08/04/2025,$73.76,1858801,$72.10,$73.82,$72.10
08/01/2025,$72.11,2136813,$73.76,$74.00,$71.32
07/31/2025,$75.17,1485875,$77.50,$77.50,$75.10
07/30/2025,$76.75,2212627,$75.55,$77.45,$74.52
07/29/2025,$75.55,2180567,$75.21,$75.89,$74.66
07/28/2025,$74.28,1907813,$75.06,$75.57,$74.24
07/25/2025,$74.69,1920283,$74.19,$75.08,$73.89
07/24/2025,$74.00,1959566,$74.31,$74.91,$73.4341
07/23/2025,$74.38,1686073,$74.44,$74.69,$73.40
07/22/2025,$74.37,1295578,$75.11,$75.45,$73.8501
07/21/2025,$75.15,1283441,$75.89,$76.31,$75.06
07/18/2025,$75.55,1427781,$75.43,$75.82,$74.84
07/17/2025,$74.84,2642275,$73.46,$75.49,$73.46
07/16/2025,$73.55,1574422,$74.505,$74.6899,$72.49
